"1723-01",1.1
"1723-02",4.4
"1723-03",7.5
"1723-04",8.9
"1723-05",11.7
"1723-06",15.0
"1723-07",15.3
"1723-08",15.6
"1723-09",13.3
"1723-10",11.1
"1723-11",7.5
"1723-12",5.8
"1724-01",5.6
"1724-02",4.2
"1724-03",4.7
"1724-04",7.2
"1724-05",11.4
"1724-06",15.3
"1724-07",15.0
"1724-08",16.2
"1724-09",14.4
"1724-10",8.6
"1724-11",5.3
"1724-12",3.3
"1725-01",4.4
"1725-02",3.3
"1725-03",5.0
"1725-04",8.1
"1725-05",10.8
"1725-06",12.2
"1725-07",13.8
"1725-08",13.3
"1725-09",12.8
"1725-10",9.4
"1725-11",6.9
"1725-12",3.9
"1726-01",1.1
"1726-02",4.2
"1726-03",4.2
"1726-04",8.4
"1726-05",13.4
"1726-06",16.4
"1726-07",16.0
"1726-08",15.6
"1726-09",14.7
"1726-10",10.2
"1726-11",6.1
"1726-12",1.8
"1727-01",4.2
"1727-02",5.0