"1966-01",76.83
"1966-02",77.74
"1966-03",80.47
"1966-04",79.56
"1966-05",82.28
"1966-06",100.92
"1966-07",113.2
"1966-08",90.92
"1966-09",86.83
"1966-10",82.74
"1966-11",83.65
"1966-12",80.92
"1967-01",83.19
"1967-02",83.65
"1967-03",83.65
"1967-04",83.65
"1967-05",86.83
"1967-06",100.47
"1967-07",91.38
"1967-08",101.38
"1967-09",95.92
"1967-10",88.19
"1967-11",88.19
"1967-12",80.47
"1968-01",80.92
"1968-02",79.56
"1968-03",80.92
"1968-04",88.19
"1968-05",91.83
"1968-06",96.38
"1968-07",97.29
"1968-08",102.29
"1968-09",99.1
"1968-10",92.74
"1968-11",87.29
"1968-12",85.47
"1969-01",91.38
"1969-02",92.74
"1969-03",89.56
"1969-04",88.65
"1969-05",93.2
"1969-06",99.56
"1969-07",109.11
"1969-08",124.56
"1969-09",115.47
"1969-10",96.38
"1969-11",92.29
"1969-12",86.83
"1970-01",87.29
"1970-02",85.92
"1970-03",85.92
"1970-04",88.65
"1970-05",91.83
"1970-06",112.29
"1970-07",101.83
"1970-08",125.02
"1970-09",102.74
"1970-10",95.01
"1970-11",91.83
"1970-12",86.38
"1971-01",87.29
"1971-02",88.19
"1971-03",89.1
"1971-04",89.1
"1971-05",103.65
"1971-06",127.75
"1971-07",125.47
"1971-08",125.47
"1971-09",109.11
"1971-10",100.01
"1971-11",95.01
"1971-12",85.01
"1972-01",86.83
"1972-02",86.83
"1972-03",86.83
"1972-04",86.83
"1972-05",100.47
"1972-06",111.38
"1972-07",105.47
"1972-08",102.74
"1972-09",105.01
"1972-10",96.38
"1972-11",94.1
"1972-12",86.83
"1973-01",92.74
"1973-02",93.2
"1973-03",95.47
"1973-04",96.38
"1973-05",99.56
"1973-06",120.47
"1973-07",123.2
"1973-08",114.11
"1973-09",120.93
"1973-10",102.74
"1973-11",101.83
"1973-12",95.47
"1974-01",100.01
"1974-02",100.01
"1974-03",98.2
"1974-04",100.01